,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
150,2010,CHA,MEM,57,0.4821428571428571,0.5087719298245614,1,2,95.1,94.5,102.1,103.1,2010-02-26_CHA_MEM,1
151,2010,CHA,DAL,58,0.4912280701754385,0.65,0,3,95.1,94.4,101.0,98.8,2010-03-01_DAL_CHA,0
152,2010,CHA,BOS,59,0.4827586206896552,0.6379310344827587,1,2,94.9,94.3,98.6,94.3,2010-03-03_CHA_BOS,0
153,2010,CHA,LAL,60,0.4745762711864407,0.7419354838709677,0,2,94.7,94.5,103.0,96.4,2010-03-05_LAL_CHA,1
154,2010,CHA,PHI,63,0.5,0.365079365079365,1,1,94.6,93.9,97.7,101.0,2010-03-10_CHA_PHI,1
155,2010,CHA,LAC,64,0.5079365079365079,0.3846153846153846,0,2,94.7,93.8,95.5,101.1,2010-03-12_LAC_CHA,1
156,2010,CHA,IND,66,0.5230769230769231,0.3181818181818182,1,2,94.9,93.8,99.5,104.7,2010-03-16_CHA_IND,0
157,2010,CHA,OKC,67,0.5151515151515151,0.6307692307692307,0,1,94.9,93.9,100.1,96.6,2010-03-17_OKC_CHA,1
158,2010,CHA,MIA,69,0.5147058823529411,0.5072463768115942,1,1,95.0,93.9,96.2,95.3,2010-03-20_CHA_MIA,0
159,2010,CHA,WAS,70,0.5072463768115942,0.3088235294117647,1,3,94.6,93.6,96.3,101.0,2010-03-23_CHA_WAS,1
160,2010,CHA,WAS,72,0.5211267605633803,0.3,0,2,94.8,93.5,95.9,100.9,2010-03-26_WAS_CHA,1
161,2010,CHA,TOR,73,0.5277777777777778,0.4861111111111111,0,3,95.0,93.6,103.3,105.6,2010-03-29_TOR_CHA,0
162,2010,CHA,PHI,74,0.5205479452054794,0.3513513513513513,0,2,95.1,93.7,97.1,100.7,2010-03-31_PHI_CHA,1
163,2010,CHA,MIL,75,0.527027027027027,0.5540540540540541,0,2,95.2,93.6,97.9,96.3,2010-04-02_MIL_CHA,1
164,2010,CHA,ATL,77,0.5263157894736842,0.6447368421052632,0,3,95.0,93.5,101.8,97.1,2010-04-06_ATL_CHA,1
165,2010,CHA,HOU,79,0.5384615384615384,0.5128205128205128,1,2,95.3,93.7,102.1,102.4,2010-04-09_CHA_HOU,0
166,2010,CHA,DET,80,0.5316455696202531,0.3291139240506329,0,1,95.2,93.7,93.8,99.0,2010-04-10_DET_CHA,1
167,2010,CHA,CHI,82,0.5432098765432098,0.4938271604938271,0,2,95.4,93.8,97.5,99.2,2010-04-14_CHI_CHA,0
168,2010,CHI,BOS,2,1.0,1.0,1,1,92.0,85.0,93.5,74.0,2009-10-30_CHI_BOS,0
169,2010,CHI,CHA,6,0.6,0.6,0,2,87.6,92.8,84.4,86.6,2009-11-07_CHA_CHI,1
170,2010,CHI,DEN,7,0.6666666666666666,0.7142857142857143,0,3,88.5,92.3,109.3,104.3,2009-11-10_DEN_CHI,0
171,2010,CHI,TOR,8,0.5714285714285714,0.4285714285714285,1,1,88.6,92.0,109.4,111.4,2009-11-11_CHI_TOR,0
172,2010,CHI,DEN,12,0.5454545454545454,0.6666666666666666,1,2,90.6,93.3,107.6,102.0,2009-11-21_CHI_DEN,0
173,2010,CHI,UTA,14,0.4615384615384615,0.5,1,3,91.4,96.9,99.5,99.6,2009-11-26_CHI_UTA,0
174,2010,CHI,MIL,15,0.4285714285714285,0.5333333333333333,1,4,91.0,97.5,98.9,97.4,2009-11-30_CHI_MIL,0
175,2010,CHI,CLE,17,0.4375,0.7222222222222222,1,2,91.4,96.8,99.5,94.3,2009-12-04_CHI_CLE,0
176,2010,CHI,TOR,18,0.4117647058823529,0.3809523809523809,0,1,91.2,97.1,105.5,110.8,2009-12-05_TOR_CHI,0
177,2010,CHI,ATL,20,0.3684210526315789,0.7,1,1,91.0,98.1,103.7,98.0,2009-12-09_CHI_ATL,0
178,2010,CHI,GSW,21,0.35,0.3333333333333333,0,2,90.6,99.0,108.6,112.5,2009-12-11_GSW_CHI,1
179,2010,CHI,BOS,22,0.3809523809523809,0.8181818181818182,0,1,90.9,98.7,100.1,91.0,2009-12-12_BOS_CHI,0
180,2010,CHI,ATL,25,0.375,0.76,0,2,90.5,98.5,105.6,96.8,2009-12-19_ATL_CHI,1
181,2010,CHI,SAC,26,0.4,0.4615384615384615,0,2,91.0,98.4,104.0,104.9,2009-12-21_SAC_CHI,0
